Id,Camera,Angle,Width,Height,Facing
12502,L,249,78,110,X
12503,L,235,49,67,X
12504,F,320,82,62,L
12505,R,52,149,141,F
12506,R,65,89,120,F
12507,R,64,127,187,F
12508,L,249,80,121,X
12509,F,12,66,78,F
12510,R,66,91,120,F
12511,F,30,100,99,F
12512,R,63,171,142,F
12513,F,25,79,101,F
12514,R,59,66,47,F
12515,R,86,51,129,F
12516,X,216,170,189,X
12517,L,245,60,85,X
12518,F,24,128,136,F
12519,F,8,53,71,F
12520,R,125,40,50,X
12521,F,27,105,97,F
12522,X,206,103,128,X
12523,F,17,99,129,F
12524,L,251,91,134,X
12525,F,16,109,113,F
12526,L,291,33,40,F
12527,L,250,82,118,X
12528,R,100,38,70,F
12529,R,44,195,171,F
12530,R,65,70,94,F
12531,F,37,132,108,F
12532,R,52,117,134,F
12533,F,15,102,101,F
12534,R,66,107,123,F
12535,L,244,85,117,X
12536,R,100,53,59,R
12537,L,250,53,71,X
12538,X,203,37,38,X
12539,L,272,82,169,F
12540,R,58,139,135,F
12541,R,53,103,98,F
12542,L,254,44,75,X
12543,F,25,45,50,F
12544,L,254,88,104,X
12545,R,67,165,223,F
12546,F,38,105,123,F
12547,X,216,81,97,X
12548,L,258,62,92,X
12549,R,108,119,171,X
12550,X,207,69,70,X
12551,L,272,39,102,F
12552,R,71,151,175,F
12553,X,210,92,103,X
12554,F,10,50,49,F
12555,L,226,69,58,X
12556,F,332,36,33,L
12557,L,254,53,77,X
12558,L,236,51,48,X
12559,F,40,86,91,R
12560,F,31,85,103,F
12561,X,210,70,64,X
12562,L,250,31,38,X
12563,L,256,77,88,X
12564,X,219,77,81,X
12565,L,250,55,67,X
12566,F,18,96,92,F
12567,F,12,41,46,F
12568,R,111,38,33,R
12569,X,135,65,46,R
12570,X,201,40,37,X
12571,L,246,67,64,X
12572,F,33,92,85,F
12573,L,235,80,97,X
12574,F,38,274,263,F
12575,R,50,124,105,F
12576,F,14,53,47,F
12577,R,75,60,117,F
12578,L,260,66,115,X
12579,F,43,159,160,F
12580,X,227,116,81,L
12581,R,49,184,202,F
12582,L,248,36,52,X
12583,F,21,44,40,F
12584,F,12,107,107,F
12585,X,208,50,47,X
12586,R,70,55,95,F
12587,F,13,69,72,F
12588,F,26,138,154,F
12589,F,24,79,94,F
12590,F,10,67,64,F
12591,L,243,69,103,X
12592,F,28,133,146,F
12593,L,238,70,73,X
12594,R,68,184,298,F
12595,F,14,27,40,F
12596,X,223,111,99,X
12597,F,27,99,108,F
12598,R,75,79,202,F
12599,F,9,42,44,F
12600,R,56,86,96,F
12601,X,207,70,70,X
12602,F,12,54,57,F
12603,F,20,51,46,F
12604,F,39,238,249,F
12605,X,200,42,42,X
12606,X,215,56,68,X
12607,F,312,57,41,F
12608,R,45,217,165,F
12609,L,261,40,81,X
12610,R,69,114,220,F
12611,L,244,53,64,X
12612,X,201,57,73,X
12613,F,23,94,125,F
12614,R,71,89,199,F
12615,F,17,157,163,F
12616,F,21,66,78,F
12617,L,259,43,69,X
12618,R,76,104,146,F
12619,X,213,51,55,X
12620,X,210,51,40,X
12621,X,204,31,34,X
12622,L,243,75,86,X
12623,R,76,93,191,F
12624,F,10,54,56,F
12625,X,208,122,121,X
12626,F,23,125,141,F
12627,R,62,215,222,F
12628,L,252,64,81,X
12629,X,201,41,46,X
12630,X,222,40,29,X
12631,X,198,39,43,X
12632,R,54,137,136,F
12633,F,33,172,161,F
12634,F,8,38,39,F
12635,F,19,69,83,F
12636,X,223,75,59,X
12637,R,86,66,214,F
12638,X,192,34,40,X
12639,X,213,74,83,X
12640,F,33,176,177,F
12641,F,40,156,170,F
12642,L,247,49,70,X
12643,F,20,53,56,F
12644,L,235,47,53,X
12645,X,212,34,36,X
12646,L,260,30,53,X
12647,R,45,247,184,F
12648,X,207,96,86,X
12649,X,198,47,48,X
12650,F,25,185,180,F
12651,F,17,98,99,F
12652,F,12,48,41,F
12653,L,251,70,113,X
12654,R,62,114,166,F
12655,R,66,124,138,F
12656,X,195,41,43,X
12657,F,25,158,146,F
12658,R,95,34,45,F
12659,F,22,116,114,F
12660,L,250,65,120,X
12661,R,53,96,95,F
12662,F,31,160,138,F
12663,X,204,54,65,X
12664,F,11,68,74,F
12665,L,241,73,66,X
12666,X,206,48,57,X
12667,L,244,66,130,X
12668,L,231,144,117,X
12669,F,24,139,128,F
12670,R,46,131,112,F
12671,F,17,62,67,F
12672,X,204,54,52,X
12673,R,77,23,47,F
12674,X,213,116,110,X
12675,R,78,56,116,F
12676,F,24,44,46,F
12677,L,254,58,60,X
12678,F,35,98,91,F
12679,L,222,55,48,X
12680,X,181,32,40,X
12681,X,223,70,68,X
12682,R,65,101,123,F
12683,X,221,105,108,X
12684,X,229,97,94,X
12685,F,42,95,73,F
12686,R,78,60,77,F
12687,X,216,54,103,X
12688,R,80,85,158,F
12689,L,259,48,105,X
12690,F,22,91,102,F
12691,F,39,98,91,F
12692,F,18,74,85,F
12693,F,23,124,118,F
12694,L,230,40,38,X
12695,X,211,73,67,X
12696,L,228,138,117,X
12697,F,23,144,153,F
12698,X,214,91,79,X
12699,L,245,39,50,X
12700,F,26,156,155,F
12701,R,58,129,143,F
12702,X,204,93,102,X
12703,R,72,146,147,F
12704,L,247,68,142,X
12705,L,247,55,80,X
12706,L,230,48,32,X
12707,F,40,83,94,F
12708,L,247,60,117,X
12709,R,56,243,259,F
12710,F,16,65,78,F
12711,L,250,67,133,X
12712,X,206,64,71,X
12713,R,74,64,101,F
12714,F,7,38,34,F
12715,L,246,48,59,X
12716,L,236,135,110,X
12717,X,204,85,103,X
12718,R,59,55,63,F
12719,R,44,141,95,F
12720,F,15,61,65,F
12721,F,23,43,52,F
12722,R,50,195,164,F
12723,L,245,103,89,X
12724,L,232,71,75,X
12725,F,24,147,150,F
12726,X,198,52,53,X
12727,X,196,43,41,X
12728,F,28,135,144,F
12729,F,27,142,135,F
12730,F,38,210,213,F
12731,F,323,57,52,L
12732,F,28,152,146,F
12733,X,152,43,57,R
12734,F,40,247,195,F
12735,X,205,55,51,X
12736,F,27,144,147,F
12737,X,214,85,78,X
12738,R,84,71,76,R
12739,X,212,42,41,X
12740,F,20,62,61,F
12741,X,217,96,112,X
12742,F,26,125,121,F
12743,R,50,166,168,F
12744,R,52,122,115,F
12745,F,10,39,42,F
12746,X,214,95,94,X
12747,F,27,201,217,F
12748,L,276,35,38,F
12749,R,51,154,135,F
12750,F,28,89,104,F
12751,F,24,121,111,F
12752,L,298,37,47,F
12753,F,31,72,78,F
12754,R,62,119,163,F
12755,R,81,44,94,F
12756,R,70,214,186,F
12757,L,233,390,454,X
12758,F,18,70,78,F
12759,F,27,115,127,F
12760,X,200,36,37,X
12761,L,258,69,99,X
12762,R,50,179,145,F
12763,L,243,35,37,L
12764,F,14,54,53,F
12765,X,211,46,48,X
12766,F,10,70,73,F
12767,L,259,55,58,X
12768,L,255,47,120,X
12769,X,213,53,56,X
12770,L,253,62,103,X
12771,L,225,133,83,X
12772,R,49,141,129,F
12773,R,46,176,155,F
12774,R,66,59,93,F
12775,X,210,87,93,X
12776,F,18,59,63,F
12777,X,214,57,46,X
12778,F,31,101,97,F
12779,F,37,250,272,F
12780,L,258,43,111,X
12781,R,83,62,76,F
12782,F,345,93,104,F
12783,R,68,141,224,F
12784,X,212,127,121,X
12785,L,246,60,70,X
12786,L,246,83,120,X
12787,R,80,86,145,F
12788,F,36,122,110,F
12789,X,199,67,69,X
12790,L,248,61,77,X
12791,F,12,60,79,F
12792,F,21,80,75,F
12793,R,74,136,230,F
12794,F,18,74,79,F
12795,X,221,91,84,X
12796,R,65,187,248,F
12797,F,36,130,135,F
12798,X,227,101,101,X
12799,R,52,95,93,F
12800,F,24,74,85,F
12801,R,71,79,152,F
12802,F,23,131,129,F
12803,F,22,116,114,F
12804,L,255,40,72,X
12805,F,21,75,76,F
12806,R,63,98,134,F
12807,R,80,50,104,F
12808,R,52,143,131,F
12809,F,43,155,155,F
12810,L,253,50,92,X
12811,R,47,110,89,F
12812,R,70,90,133,F
12813,F,49,80,115,F
12814,R,103,59,68,R
12815,F,29,204,197,F
12816,F,313,144,127,F
12817,R,92,26,59,F
12818,L,230,84,79,X
12819,X,193,33,38,X
12820,X,201,51,48,X
12821,R,76,49,112,F
12822,R,68,115,112,F
12823,R,49,181,166,F
12824,R,53,149,134,F
12825,F,15,74,77,F
12826,L,230,85,82,X
12827,F,20,116,117,F
12828,X,217,117,83,X
12829,L,227,137,113,X
12830,L,244,39,50,X
12831,X,207,74,78,X
12832,R,47,188,131,F
12833,X,216,43,37,X
12834,F,29,207,197,F
12835,L,246,78,87,X
12836,L,248,47,74,X
12837,R,51,108,112,F
12838,L,282,49,122,F
12839,F,15,49,48,F
12840,R,77,86,154,F
12841,R,46,134,102,F
12842,L,231,101,89,X
12843,R,80,76,131,F
12844,X,197,33,53,X
12845,F,19,54,55,F
12846,F,347,33,56,L
12847,R,59,168,188,F
12848,R,58,108,135,F
12849,R,49,260,207,F
12850,F,35,87,97,F
12851,L,259,76,98,X
12852,F,33,152,142,F
12853,L,247,87,122,X
12854,F,20,110,104,F
12855,F,13,61,58,F
12856,L,245,77,85,X
12857,R,77,62,137,F
12858,F,42,103,94,F
12859,R,68,110,126,F
12860,F,13,50,55,F
12861,R,72,30,36,R
12862,L,318,107,124,F
12863,F,28,120,129,F
12864,X,205,61,64,X
12865,F,20,106,113,F
12866,R,67,63,74,F
12867,L,253,32,54,X
12868,L,255,31,67,X
12869,F,34,115,127,F
12870,L,282,94,166,F
12871,R,97,65,66,R
12872,R,52,116,113,F
12873,X,215,80,79,X
12874,R,56,169,179,F
12875,F,47,186,181,F
12876,X,241,163,177,X
12877,L,247,67,93,X
12878,L,241,41,65,X
12879,R,54,187,186,F
12880,F,41,140,127,F
12881,L,249,29,54,X
12882,F,31,117,126,F
12883,X,209,84,80,X
12884,L,253,58,125,X
12885,L,246,48,77,X
12886,F,14,76,82,F
12887,R,107,61,70,R
12888,X,224,127,121,X
12889,R,81,79,142,F
12890,R,63,82,105,F
12891,L,234,94,104,X
12892,X,225,117,107,X
12893,L,251,69,127,X
12894,X,228,137,141,X
12895,R,82,145,156,R
12896,F,19,66,69,F
12897,X,217,62,57,X
12898,L,224,104,80,X
12899,L,233,87,101,X
12900,L,252,73,126,X
12901,R,69,124,163,F
12902,L,258,67,95,X
12903,X,196,44,48,X
12904,L,245,75,118,X
12905,R,62,139,217,F
12906,R,67,170,228,F
12907,F,27,166,182,F
12908,F,23,54,59,F
12909,R,73,134,146,F
12910,F,10,54,78,F
12911,L,227,53,36,X
12912,L,245,57,75,X
12913,F,19,99,91,F
12914,X,202,46,69,X
12915,R,67,91,133,F
12916,R,64,93,126,F
12917,R,54,195,166,F
12918,R,115,115,136,X
12919,X,221,140,117,X
12920,L,284,96,179,F
12921,R,74,77,126,F
12922,F,26,71,75,F
12923,F,10,61,68,F
12924,F,30,109,105,F
12925,R,65,212,231,F
12926,R,45,138,106,F
12927,F,19,61,67,F
12928,F,17,41,41,F
12929,F,13,69,66,F
12930,F,21,153,145,F
12931,F,20,34,34,F
12932,L,229,54,38,X
12933,R,61,69,70,F
12934,F,18,101,107,F
12935,L,273,57,89,F
12936,X,220,119,110,X
12937,X,213,80,75,X
12938,X,224,45,34,X
12939,F,31,209,183,F
12940,F,317,200,205,F
12941,X,166,51,57,X
12942,L,247,89,137,X
12943,F,14,94,102,F
12944,X,216,54,51,X
12945,L,246,80,112,X
12946,L,257,57,113,X
12947,L,261,56,91,X
12948,F,58,110,121,F
12949,R,50,425,433,F
12950,F,25,78,81,F
12951,R,64,147,123,F
12952,F,34,157,142,F
12953,F,321,58,36,L
12954,R,64,115,158,F
12955,R,73,92,176,F
12956,R,56,110,120,F
12957,X,217,99,81,X
12958,R,43,170,141,F
12959,R,77,57,91,F
12960,R,98,85,92,F
12961,L,246,57,73,X
12962,L,255,55,81,X
12963,L,247,37,47,X
12964,L,265,39,84,F
12965,X,223,59,45,X
12966,F,24,138,138,F
12967,F,12,61,64,F
12968,X,215,63,53,X
12969,R,42,160,132,F
12970,X,208,68,76,X
12971,F,22,135,154,F
12972,X,204,58,58,X
12973,X,197,55,56,X
12974,L,253,45,89,X
12975,R,77,43,97,F
12976,X,216,52,50,X
12977,R,71,85,138,F
12978,F,37,122,130,F
12979,R,73,105,221,F
12980,X,225,220,161,X
12981,X,213,84,87,X
12982,R,70,79,125,F
12983,F,22,83,87,F
12984,L,247,38,45,X
12985,F,26,130,118,F
12986,L,250,51,99,X
12987,X,220,55,56,X
12988,L,247,60,85,X
12989,F,26,107,126,F
12990,R,63,109,125,F
12991,L,256,37,44,X
12992,F,39,227,218,F
12993,R,68,68,92,F
12994,F,40,145,150,F
12995,R,67,175,254,F
12996,L,254,54,102,X
12997,L,248,44,59,X
12998,R,75,74,112,F
12999,F,12,65,66,F
13000,L,260,31,87,X
13001,R,67,84,120,F
13002,F,15,82,87,F
13003,F,43,206,196,F
13004,X,215,108,108,X
13005,L,257,52,65,X
13006,R,55,337,430,F
13007,F,14,96,102,F
13008,L,225,126,75,X
13009,F,339,45,49,L
13010,F,16,36,38,F
13011,L,250,41,65,X
13012,X,197,59,56,X
13013,X,195,35,44,X
13014,X,203,91,96,X
13015,R,70,90,173,F
13016,R,54,105,111,F
13017,R,75,90,110,F
13018,F,25,107,112,F
13019,R,70,60,88,F
13020,R,84,86,166,F
13021,X,200,58,67,X
13022,R,56,106,136,F
13023,X,215,91,79,X
13024,R,42,139,126,F
13025,F,46,134,121,F
13026,X,208,96,107,X
13027,F,13,73,69,F
13028,X,227,167,271,X
13029,L,236,137,121,X
13030,F,20,52,34,F
13031,F,36,109,89,F
13032,L,259,40,86,X
13033,X,205,49,50,X
13034,F,6,34,41,F
13035,F,17,72,74,F
13036,R,69,93,114,F
13037,R,64,113,113,F
13038,R,78,47,92,F
13039,F,18,45,53,F
13040,F,27,69,65,F
13041,L,238,42,36,X
13042,L,256,53,108,X
13043,L,244,74,99,X
13044,R,120,35,36,X
13045,R,81,54,167,F
13046,R,52,280,307,F
13047,L,249,101,118,X
13048,L,250,44,71,X
13049,L,251,25,49,X
13050,L,255,40,46,X
13051,F,13,49,52,F
13052,F,29,61,59,F
13053,R,60,74,104,F
13054,R,58,215,201,F
13055,F,30,95,88,F
13056,F,16,55,56,F
13057,L,246,44,73,X
13058,R,92,39,40,R
13059,F,7,33,38,F
13060,R,69,136,139,F
13061,X,204,56,54,X
13062,X,210,77,81,X
13063,F,38,126,139,F
13064,R,42,97,93,F
13065,F,25,122,128,F
13066,R,122,56,50,X
13067,F,342,43,42,F
13068,X,217,46,46,X
13069,X,214,64,63,X
13070,F,23,114,119,F
13071,R,51,259,202,F
13072,X,203,59,59,X
13073,R,56,151,159,F
13074,R,94,156,183,F
13075,L,259,64,153,F
13076,R,63,227,184,F
13077,X,219,90,92,X
13078,F,25,89,82,F
13079,X,216,95,102,X
13080,L,232,94,94,X
13081,F,11,42,46,F
13082,F,28,78,91,F
13083,R,69,144,150,F
13084,R,77,133,223,F
13085,F,24,131,152,F
13086,L,223,110,88,X
13087,R,53,216,195,F
13088,F,36,201,209,F
13089,F,25,139,144,F
13090,X,207,38,34,X
13091,F,31,96,89,F
13092,F,334,102,122,F
13093,L,245,94,113,X
13094,R,48,214,172,F
13095,F,35,95,132,F
13096,R,104,34,37,X
13097,R,60,122,136,F
13098,L,259,48,111,X
13099,X,223,67,70,X
13100,F,21,123,115,F
13101,L,248,32,40,X
13102,F,23,76,73,F
13103,F,34,90,90,F
13104,F,26,125,121,F
13105,R,79,43,102,F
13106,X,203,47,59,X
13107,R,52,80,76,F
13108,R,64,139,191,F
13109,F,21,79,82,F
13110,R,58,173,232,F
13111,F,29,65,69,F
13112,R,52,141,140,F
13113,L,258,29,71,X
13114,R,51,124,131,F
13115,X,228,77,67,X
13116,L,248,69,78,X
13117,X,203,29,38,X
13118,R,108,58,116,X
13119,F,35,122,123,F
13120,F,22,119,127,F
13121,X,215,32,35,X
13122,F,22,189,195,F
13123,X,212,47,45,X
13124,X,203,67,74,X
13125,R,70,47,73,F
13126,F,35,220,148,F
13127,X,204,35,38,X
13128,F,35,194,201,F
13129,F,13,49,55,F
13130,F,30,132,121,F
13131,R,61,62,81,F
13132,X,201,53,54,X
13133,R,131,85,54,F
13134,R,60,130,137,F
13135,R,64,164,201,F
13136,F,11,63,63,F
13137,X,211,40,52,X
13138,R,57,92,74,F
13139,R,75,98,164,F
13140,F,21,119,115,F
13141,F,24,58,64,F
13142,X,208,79,86,X
13143,F,22,117,129,F
13144,R,45,101,89,F
13145,L,238,82,91,X
13146,F,338,60,59,F
13147,F,15,80,83,F
13148,F,34,173,140,F
13149,X,153,107,99,X
13150,X,240,124,139,X
13151,X,202,81,84,X
13152,R,69,100,154,F
13153,F,23,111,135,F
13154,X,213,63,78,X
13155,F,27,116,120,F
13156,F,26,140,148,F
13157,L,256,39,43,X
13158,L,249,36,41,X
13159,X,214,98,98,X
13160,F,25,49,64,F
13161,F,29,198,215,F
13162,L,250,55,74,X
13163,X,215,66,51,X
13164,R,52,215,203,F
13165,F,24,92,101,F
13166,R,66,99,110,F
13167,X,178,32,39,X
13168,L,246,43,53,X
13169,R,73,64,123,F
13170,F,37,232,233,F
13171,X,215,81,81,X
13172,L,284,70,130,F
13173,R,47,256,217,F
13174,F,42,161,126,F
13175,L,308,50,84,F
13176,R,65,92,172,F
13177,F,40,133,116,F
13178,X,205,49,59,X
13179,R,71,74,128,F
13180,R,51,221,189,F
13181,F,24,43,47,F
13182,R,71,135,223,F
13183,R,77,51,129,F
13184,R,76,90,179,F
13185,F,28,165,152,F
13186,F,22,85,91,F
13187,F,12,34,35,F
13188,F,42,138,131,F
13189,L,245,63,96,X
13190,F,21,36,50,F
13191,R,43,178,168,F
13192,R,53,117,100,F
13193,F,24,69,74,F
13194,R,107,62,67,X
13195,F,38,109,114,F
13196,F,30,199,202,F
13197,R,70,92,150,F
13198,L,263,54,133,F
13199,F,42,161,148,F
13200,F,20,61,42,F
13201,F,67,69,41,F
13202,X,219,49,42,X
13203,F,30,164,154,F
13204,F,23,85,83,F
13205,X,215,95,104,X
13206,X,213,89,80,X
13207,F,31,75,89,F
13208,F,46,139,173,F
13209,F,26,39,39,F
13210,L,261,113,136,F
13211,R,55,135,164,F
13212,L,249,42,64,X
13213,F,26,179,168,F
13214,F,322,50,33,L
13215,L,230,53,55,X
13216,R,47,128,93,F
13217,L,267,49,51,L
13218,F,33,123,115,F
13219,X,225,61,54,X
13220,R,49,271,225,F
13221,R,66,53,77,F
13222,R,79,69,217,F
13223,X,212,98,87,X
13224,L,256,45,76,X
13225,X,216,62,59,X
13226,X,202,52,54,X
13227,F,19,37,71,F
13228,R,66,127,174,F
13229,F,19,101,96,F
13230,R,73,69,113,F
13231,X,225,66,112,X
13232,X,139,48,38,R
13233,F,10,60,58,F
13234,L,251,34,64,X
13235,L,251,27,42,X
13236,X,222,120,113,X
13237,R,72,72,111,F
13238,X,198,55,48,X
13239,F,15,83,81,F
13240,R,66,56,93,F
13241,X,222,111,105,X
13242,L,245,68,91,X
13243,R,71,76,124,F
13244,X,207,37,39,X
13245,F,35,126,161,F
13246,R,74,125,127,F
13247,X,195,46,44,X
13248,R,50,131,131,F
13249,R,65,73,89,F
13250,F,337,49,44,F
13251,X,238,100,106,X
13252,F,23,192,188,F
13253,F,39,181,151,F
13254,F,38,224,212,F
13255,F,17,63,64,F
13256,L,264,30,37,F
13257,F,21,76,73,F
13258,X,207,73,67,X
13259,X,220,47,38,X
13260,R,65,90,137,F
13261,L,257,67,99,X
13262,R,70,105,150,F
13263,R,133,39,33,R
13264,X,219,55,54,X
13265,F,27,70,66,F
13266,L,256,38,92,X
13267,R,81,90,172,F
13268,F,24,104,110,F
13269,L,235,99,102,X
13270,R,66,117,188,F
13271,F,28,99,110,F
13272,F,37,127,123,F
13273,F,37,104,121,F
13274,L,228,100,92,X
13275,F,34,130,123,F
13276,F,29,111,110,F
13277,F,325,50,53,L
13278,R,46,104,106,F
13279,F,35,152,129,F
13280,R,51,184,146,F
13281,F,45,187,185,F
13282,X,215,43,85,X
13283,R,79,83,160,F
13284,X,221,70,83,X
13285,X,199,34,38,X
13286,X,213,68,71,X
13287,L,242,59,85,X
13288,L,248,63,108,X
13289,F,26,105,105,F
13290,F,13,55,65,F
13291,R,71,134,232,F
13292,F,20,112,112,F
13293,X,228,72,73,X
13294,R,74,48,94,F
13295,F,324,174,146,F
13296,L,244,57,87,X
13297,F,9,62,63,F
13298,F,36,177,175,F
13299,F,26,128,113,F
13300,F,19,73,86,F
13301,F,22,143,145,F
13302,L,247,84,112,X
13303,F,26,89,99,F
13304,L,250,51,65,X
13305,L,258,56,105,X
13306,L,258,53,88,X
13307,X,225,111,126,X
13308,R,73,91,108,F
13309,L,248,71,103,X
13310,F,34,116,105,F
13311,R,47,155,137,F
13312,R,49,219,210,F
13313,L,240,85,122,X
13314,F,17,103,108,F
13315,R,50,139,118,F
13316,X,215,85,99,X
13317,R,58,121,142,F
13318,L,253,32,55,X
13319,R,47,129,117,F
13320,R,67,77,117,F
13321,R,76,70,91,R
13322,L,240,75,87,X
13323,R,63,184,204,F
13324,X,211,40,44,X
13325,L,230,115,104,X
13326,F,28,87,107,F
13327,R,66,127,197,F
13328,R,128,158,191,R
13329,L,238,43,45,X
13330,F,44,195,142,F
13331,L,251,35,45,X
13332,F,25,105,114,F
13333,X,218,95,94,X
13334,F,24,55,64,F
13335,X,216,89,84,X
13336,F,26,99,110,F
13337,L,249,50,71,X
13338,L,245,69,95,X
13339,R,52,133,129,F
13340,L,270,61,67,L
13341,X,228,124,143,X
13342,F,20,67,69,F
13343,F,25,132,126,F
13344,R,69,65,132,F
13345,R,86,31,36,R
13346,X,203,55,49,X
13347,R,118,34,42,R
13348,F,15,77,90,F
13349,R,62,77,110,F
13350,X,247,109,139,X
13351,X,196,71,68,X
13352,X,217,78,87,X
13353,F,33,88,104,F
13354,L,243,28,43,X
13355,X,210,48,52,X
13356,F,27,134,124,F
13357,F,24,92,95,F
13358,R,80,44,50,R
13359,R,45,140,101,F
13360,L,245,46,75,X
13361,R,45,136,116,F
13362,X,206,31,34,X
13363,L,234,52,42,X
13364,F,14,70,75,F
13365,L,234,88,97,X
13366,L,241,86,92,X
13367,R,67,167,204,F
13368,L,309,142,151,F
13369,R,79,44,93,F
13370,R,56,126,174,F
13371,X,194,55,60,X
13372,F,13,80,80,F
13373,R,84,47,96,F
13374,X,207,78,81,X
13375,R,75,70,101,F
13376,F,61,182,198,F
13377,F,26,100,104,F
13378,R,48,315,206,F
13379,F,34,197,145,F
13380,L,235,128,118,X
13381,F,31,236,239,F
13382,R,46,216,169,F
13383,L,249,42,59,X
13384,R,47,141,103,F
13385,L,247,43,73,X
13386,L,230,100,97,X
13387,L,225,46,34,X
13388,L,251,96,127,X
13389,F,13,43,46,F
13390,R,49,169,113,F
13391,F,13,68,74,F
13392,F,25,123,108,F
13393,F,23,85,92,F
13394,F,39,170,155,F
13395,F,19,125,123,F
13396,R,60,129,141,F
13397,F,326,54,44,L
13398,R,71,65,102,F
13399,X,202,88,97,X
13400,R,59,139,145,F
13401,R,99,64,67,X
13402,R,78,75,127,F
13403,L,237,38,31,X
13404,F,24,146,158,F
13405,L,254,75,93,L
13406,R,49,159,135,F
13407,F,14,76,82,F
13408,L,236,115,99,X
13409,F,29,119,138,F
13410,R,65,34,67,F
13411,X,207,68,64,X
13412,L,295,79,87,F
13413,F,16,43,44,F
13414,X,199,44,41,X
13415,X,213,68,81,X
13416,F,40,145,146,F
13417,F,20,91,87,F
13418,X,219,41,34,X
13419,L,247,48,97,X
13420,F,16,106,122,F
13421,X,228,47,37,L
13422,L,295,50,81,F
13423,R,66,76,146,F
13424,L,246,56,73,X
13425,X,225,61,59,X
13426,R,69,99,141,F
13427,F,27,148,146,F
13428,X,210,59,69,X
13429,X,209,63,68,X
13430,F,311,54,31,L
13431,X,203,66,67,X
13432,L,243,68,84,X
13433,R,73,182,258,F
13434,X,216,43,31,X
13435,X,210,85,79,X
13436,L,259,59,99,X
13437,F,27,166,221,F
13438,R,72,89,210,F
13439,X,228,140,170,X
13440,R,69,120,178,F
13441,L,233,112,84,X
13442,L,256,29,51,X
13443,F,11,60,62,F
13444,X,215,54,53,X
13445,R,57,132,133,F
13446,L,269,31,38,L
13447,F,32,92,84,F
13448,L,251,34,60,X
13449,R,99,66,67,R
13450,F,22,101,104,F
13451,L,286,56,63,F
13452,X,217,40,43,X
13453,R,64,121,137,F
13454,L,247,34,40,X
13455,X,221,51,47,X
13456,L,288,91,108,F
13457,L,241,69,79,X
13458,X,225,138,116,X
13459,L,232,92,89,X
13460,R,71,154,213,F
13461,L,247,79,136,X
13462,F,23,51,49,F
13463,L,243,176,158,X
13464,R,66,88,120,F
13465,F,40,97,105,F
13466,F,41,66,67,F
13467,F,23,73,86,F
13468,F,39,153,157,F
13469,F,27,180,164,F
13470,L,295,82,98,F
13471,R,69,98,130,F
13472,F,27,172,175,F
13473,X,208,55,62,X
13474,F,347,93,171,F
13475,L,235,141,130,X
13476,F,34,103,100,F
13477,L,235,131,132,X
13478,L,251,61,95,X
13479,L,239,79,92,X
13480,X,212,78,63,X
13481,F,33,90,100,F
13482,F,21,115,124,F
13483,R,71,59,129,F
13484,X,197,49,46,X
13485,F,56,138,115,R
13486,X,207,89,97,X
13487,X,212,58,53,X
13488,X,204,92,99,X
13489,L,257,33,55,X
13490,X,225,137,112,X
13491,L,239,56,68,X
13492,F,26,164,142,F
13493,X,220,74,80,X
13494,L,264,22,63,X
13495,R,63,123,173,F
13496,F,33,54,61,F
13497,F,19,57,55,F
13498,L,259,50,112,X
13499,F,15,93,96,F
13500,L,245,72,117,X
13501,F,26,157,142,F
13502,L,263,65,174,X
13503,X,214,79,83,X
13504,F,26,115,105,F
13505,R,83,56,110,F
13506,F,32,88,95,F
13507,X,203,51,50,X
13508,L,244,43,31,X
13509,L,248,91,90,X
13510,L,248,68,102,X
13511,L,260,37,90,X
13512,F,23,74,77,F
13513,X,219,80,96,X
13514,L,260,31,49,X
13515,F,12,64,61,F
13516,F,25,79,79,F
13517,R,56,91,85,F
13518,F,15,91,96,F
13519,X,214,44,37,X
13520,R,57,208,235,F
13521,R,72,79,118,F
13522,F,39,168,155,F
13523,F,19,30,34,F
13524,L,252,69,136,X
13525,R,66,194,267,F
13526,X,215,63,74,X
13527,R,78,54,110,F
13528,L,237,106,102,X
13529,X,199,57,61,X
13530,L,244,42,73,X
13531,F,35,160,178,F
13532,X,228,101,83,X
13533,R,82,33,45,R
13534,X,208,64,64,X
13535,F,13,67,69,F
13536,F,19,70,77,F
13537,F,31,183,158,F
13538,F,338,63,60,F
13539,R,67,115,164,F
13540,L,224,115,101,X
13541,X,213,75,72,X
13542,R,75,66,119,F
13543,L,249,62,98,X
13544,F,35,202,167,F
13545,X,216,117,106,X
13546,R,45,170,101,F
13547,X,222,49,49,X
13548,R,51,146,148,F
13549,L,243,91,113,X
13550,F,23,123,124,F
13551,R,65,61,86,F
13552,X,197,39,40,X
13553,F,25,54,65,F
13554,F,22,63,58,F
13555,R,69,140,213,F
13556,F,13,88,86,F
13557,F,27,116,131,F
13558,F,20,114,121,F
13559,L,258,43,70,X
13560,F,30,126,131,F
13561,X,209,54,57,X
13562,F,26,72,80,F
13563,R,56,169,217,F
13564,R,58,114,129,F
13565,X,217,56,57,X
13566,R,105,31,34,F
13567,F,26,113,109,F
13568,X,211,58,67,X
13569,F,23,64,66,F
13570,R,69,97,138,F
13571,X,197,46,52,X
13572,R,56,150,176,F
13573,X,218,126,116,X
13574,X,230,190,203,X
13575,R,77,77,75,R
13576,L,240,120,112,X
